,movie,chapter,character,dialog,gender,releaseYear,processed_tokens,processed_text,preprocessed_tokens,preprocessed_text
51,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace horace slughorn,merlin's beard!,male,2009,"['merlin', ""'s"", 'beard', '!']",merlin 's beard !,"['merlin', ""'s"", 'beard', '!']",merlin 's beard !
52,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,there's no need to disfigure me albus!,male,2009,"['need', 'disfigure', 'I', 'albus', '!']",need disfigure I albus !,"['need', 'disfigure', 'I', 'albus', '!']",need disfigure I albus !
53,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,i must say you make a very convincing armchair horace,male,2009,"['I', 'must', 'say', 'make', 'convincing', 'armchair', 'horace']",I must say make convincing armchair horace,"['I', 'must', 'say', 'make', 'convincing', 'armchair', 'horace']",I must say make convincing armchair horace
54,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,it's all in the upholstery i come by the stuffing naturally what gave me away,male,2009,"['upholstery', 'I', 'come', 'stuffing', 'naturally', 'give', 'I', 'away']",upholstery I come stuffing naturally give I away,"['upholstery', 'I', 'come', 'stuffing', 'naturally', 'give', 'I', 'away']",upholstery I come stuffing naturally give I away
55,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,dragon's blood,male,2009,"['dragon', ""'s"", 'blood']",dragon 's blood,"['dragon', ""'s"", 'blood']",dragon 's blood
56,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,yes well i couldn't very well use wizard's blood could i  oho!,male,2009,"['yes', 'well', 'I', 'could', 'not', 'well', 'use', 'wizard', ""'s"", 'blood', 'could', 'I', 'oho', '!']",yes well I could not well use wizard 's blood could I oho !,"['yes', 'well', 'I', 'could', 'not', 'well', 'use', 'wizard', ""'s"", 'blood', 'could', 'I', 'oho', '!']",yes well I could not well use wizard 's blood could I oho !
57,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,ah yes  introductions  harry this is an old friend and colleague of mine horace slughorn  horace this is well you know who this is apparently there's some thought he may be the chosen one,male,2009,"['ah', 'yes', 'introduction', 'harry', 'old', 'friend', 'colleague', 'mine', 'horace', 'slughorn', 'horace', 'well', 'know', 'apparently', 'thought', 'may', 'choose', 'one']",ah yes introduction harry old friend colleague mine horace slughorn horace well know apparently thought may choose one,"['ah', 'yes', 'introduction', 'harry', 'old', 'friend', 'colleague', 'mine', 'horace', 'slughorn', 'horace', 'well', 'know', 'apparently', 'thought', 'may', 'choose', 'one']",ah yes introduction harry old friend colleague mine horace slughorn horace well know apparently thought may choose one
58,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,so why all the theatrics horace you weren't perhaps expecting someone else were you,male,2009,"['theatric', 'horace', 'not', 'perhaps', 'expect', 'someone', 'else']",theatric horace not perhaps expect someone else,"['theatric', 'horace', 'not', 'perhaps', 'expect', 'someone', 'else']",theatric horace not perhaps expect someone else
59,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,ssomeone else  i'm sure i don't know what you mean,male,2009,"['ssomeone', 'else', 'I', 'sure', 'I', 'not', 'know', 'mean']",ssomeone else I sure I not know mean,"['ssomeone', 'else', 'I', 'sure', 'I', 'not', 'know', 'mean']",ssomeone else I sure I not know mean
60,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,oh all right!  the death eaters have been trying to recruit me for over a year  do you know what that's like  one can only say no to these people so many times before they,male,2009,"['oh', 'right', '!', 'death', 'eater', 'try', 'recruit', 'I', 'year', 'know', 'like', 'one', 'say', 'people', 'many', 'time']",oh right ! death eater try recruit I year know like one say people many time,"['oh', 'right', '!', 'death', 'eater', 'try', 'recruit', 'I', 'year', 'know', 'like', 'one', 'say', 'people', 'many', 'time']",oh right ! death eater try recruit I year know like one say people many time
61,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,take matters into their own hands,male,2009,"['take', 'matter', 'hand']",take matter hand,"['take', 'matter', 'hand']",take matter hand
62,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,i never stay anywhere more than a week  the muggles who own this place are in the canary islands,male,2009,"['I', 'never', 'stay', 'anywhere', 'week', 'muggle', 'place', 'canary', 'island']",I never stay anywhere week muggle place canary island,"['I', 'never', 'stay', 'anywhere', 'week', 'muggle', 'place', 'canary', 'island']",I never stay anywhere week muggle place canary island
63,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,well i think it should be put back in order for them don't you mind,male,2009,"['well', 'I', 'think', 'put', 'back', 'order', 'not', 'mind']",well I think put back order not mind,"['well', 'I', 'think', 'put', 'back', 'order', 'not', 'mind']",well I think put back order not mind
64,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,that was fun  may i use the loo,male,2009,"['fun', 'may', 'I', 'use', 'loo']",fun may I use loo,"['fun', 'may', 'I', 'use', 'loo']",fun may I use loo
65,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,don't think i don't know why you're here albus!  the answer is still no!  absolutely unequivocally no!,male,2009,"['not', 'think', 'I', 'not', 'know', 'albus', '!', 'answer', 'still', '!', 'absolutely', 'unequivocally', '!']",not think I not know albus ! answer still ! absolutely unequivocally !,"['not', 'think', 'I', 'not', 'know', 'albus', '!', 'answer', 'still', '!', 'absolutely', 'unequivocally', '!']",not think I not know albus ! answer still ! absolutely unequivocally !
66,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,you look very like your father except for your eyes  you've got,male,2009,"['look', 'like', 'father', 'except', 'eye', 'get']",look like father except eye get,"['look', 'like', 'father', 'except', 'eye', 'get']",look like father except eye get
67,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,my mother's eyes yeah,male,2009,"['mother', ""'s"", 'eye', 'yeah']",mother 's eye yeah,"['mother', ""'s"", 'eye', 'yeah']",mother 's eye yeah
68,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,lily  lovely lily  she was exceedingly bright  your mother even more impressive when one considers she was muggleborn,male,2009,"['lily', 'lovely', 'lily', 'exceedingly', 'bright', 'mother', 'even', 'impressive', 'one', 'consider', 'muggleborn']",lily lovely lily exceedingly bright mother even impressive one consider muggleborn,"['lily', 'lovely', 'lily', 'exceedingly', 'bright', 'mother', 'even', 'impressive', 'one', 'consider', 'muggleborn']",lily lovely lily exceedingly bright mother even impressive one consider muggleborn
69,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,one of my best friends is muggle born  she's the best in our year,male,2009,"['one', 'good', 'friend', 'muggle', 'bear', 'good', 'year']",one good friend muggle bear good year,"['one', 'good', 'friend', 'muggle', 'bear', 'good', 'year']",one good friend muggle bear good year
